Frequency_GHz,S11_dB
4.080000000000000071e+00,-1.390043393377840886e+00
4.089999999999999858e+00,-1.392591968374507161e+00
4.099999999999999645e+00,-1.395149742327810527e+00
4.110000000000000320e+00,-1.397727425995804129e+00
4.120000000000000107e+00,-1.400335603938557050e+00
4.129999999999999893e+00,-1.402984322025293329e+00
4.139999999999999680e+00,-1.405682691811564800e+00
4.150000000000000355e+00,-1.408438526436177174e+00
4.160000000000000142e+00,-1.411258021778492244e+00
4.169999999999999929e+00,-1.414145495220550774e+00
4.179999999999999716e+00,-1.417103192497477293e+00
4.190000000000000391e+00,-1.420131170833304868e+00
4.200000000000000178e+00,-1.423227263904387030e+00
4.209999999999999964e+00,-1.426387131227853988e+00
4.219999999999999751e+00,-1.429604391435434163e+00
4.230000000000000426e+00,-1.432870835679127319e+00
4.240000000000000213e+00,-1.436176714254500553e+00
4.250000000000000000e+00,-1.439511086555358643e+00
4.259999999999999787e+00,-1.442862221827851954e+00
4.269999999999999574e+00,-1.446218035998731111e+00
4.280000000000000249e+00,-1.449566548221390194e+00
4.290000000000000036e+00,-1.452896339798604775e+00
4.299999999999999822e+00,-1.456196997853687058e+00
4.309999999999999609e+00,-1.459459526549668151e+00
4.320000000000000284e+00,-1.462676709778502060e+00
4.330000000000000071e+00,-1.465843411006202412e+00
4.339999999999999858e+00,-1.468956798280908860e+00
4.349999999999999645e+00,-1.472016485183677226e+00
4.360000000000000320e+00,-1.475024581604566842e+00
4.370000000000000107e+00,-1.477985651531692923e+00
4.379999999999999893e+00,-1.480906578420561726e+00
4.389999999999999680e+00,-1.483796342045365924e+00
4.400000000000000355e+00,-1.486665713913535525e+00
4.410000000000000142e+00,-1.489526881253694368e+00
4.419999999999999929e+00,-1.492393012185215362e+00
4.429999999999999716e+00,-1.495277776874828213e+00
4.440000000000000391e+00,-1.498194841226295981e+00
4.450000000000000178e+00,-1.501157350884398722e+00
4.459999999999999964e+00,-1.504177424023839471e+00
4.469999999999999751e+00,-1.507265671503396964e+00
4.480000000000000426e+00,-1.510430762469353816e+00
4.490000000000000213e+00,-1.513679052373648304e+00
4.500000000000000000e+00,-1.517014288629213725e+00
4.509999999999999787e+00,-1.520437406772944477e+00
4.519999999999999574e+00,-1.523946427085347555e+00
4.530000000000000249e+00,-1.527536458192660929e+00
4.540000000000000036e+00,-1.531199810348329082e+00
4.549999999999999822e+00,-1.534926216985006420e+00
4.559999999999999609e+00,-1.538703158901968404e+00
4.570000000000000284e+00,-1.542516281282209079e+00
4.580000000000000071e+00,-1.546349889810880285e+00
4.589999999999999858e+00,-1.550187508681772464e+00
4.599999999999999645e+00,-1.554012480411430586e+00
4.610000000000000320e+00,-1.557808585284512493e+00
4.620000000000000107e+00,-1.561560657045506062e+00
4.629999999999999893e+00,-1.565255171200802931e+00
4.639999999999999680e+00,-1.568880783020345948e+00
4.650000000000000355e+00,-1.572428793994069318e+00
4.660000000000000142e+00,-1.575893528024496337e+00
4.669999999999999929e+00,-1.579272601897664385e+00
4.679999999999999716e+00,-1.582567078417945750e+00
4.690000000000000391e+00,-1.585781494846598472e+00
4.700000000000000178e+00,-1.588923763772074116e+00
4.709999999999999964e+00,-1.592004948092828442e+00
4.719999999999999751e+00,-1.595038916252023764e+00
4.730000000000000426e+00,-1.598041888093522100e+00
4.740000000000000213e+00,-1.601031885592152371e+00
4.750000000000000000e+00,-1.604028106154716138e+00
4.759999999999999787e+00,-1.607050239111342815e+00
4.769999999999999574e+00,-1.610117748354604972e+00
4.780000000000000249e+00,-1.613249145773219873e+00
